id,measurement_id,anatomy_id,update_timestamp,tx,ty,tz,r0,r1,r2,r3,method,obsolete,git_hash,git_repo,source_int_calibration_id,distortion_calibration_id,operator,display_time,click_count,keypress_count
787,8,1,3/12/2025 17:23,-97.8682,59.1176,402.83,0.736873,-0.143231,-0.456622,-0.477492,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,77,9,128
788,7,2,3/12/2025 17:25,-67.9091,93.394,417.248,-0.52656,0.30418,0.23701,0.757651,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,59,9,85
789,7,1,3/12/2025 17:25,-99.8441,63.0569,400.624,0.735997,-0.158381,-0.440246,-0.489292,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,59,9,85
790,8,2,3/12/2025 17:25,-65.5211,91.8586,418.648,-0.526561,0.30418,0.237006,0.757652,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,114,16,145
791,8,1,3/12/2025 17:25,-98.5151,59.1176,400.514,0.742412,-0.137371,-0.447561,-0.479211,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,114,16,145
792,7,2,3/12/2025 17:26,-68.5361,94.0514,414.864,-0.532644,0.30096,0.231942,0.756251,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,87,12,96
793,7,1,3/12/2025 17:26,-99.8441,63.0569,400.624,0.735997,-0.158381,-0.440246,-0.489292,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,87,12,96
794,7,2,3/12/2025 17:26,-66.7401,93.5898,417.899,-0.524772,0.309933,0.238653,0.756042,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,102,14,112
795,7,1,3/12/2025 17:26,-99.8441,63.0569,400.624,0.735997,-0.158381,-0.440246,-0.489292,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,102,14,112
796,6,2,3/12/2025 17:28,-52.7584,26.376,440.014,-0.551611,0.422573,0.323572,0.642229,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,126,9,304
