id,measurement_id,anatomy_id,update_timestamp,tx,ty,tz,r0,r1,r2,r3,method,obsolete,git_hash,git_repo,source_int_calibration_id,distortion_calibration_id,operator,display_time,click_count,keypress_count
844,13,2,3/12/2025 17:54,-54.4955,84.306,425.373,-0.520713,0.295966,0.23375,0.765913,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,17,1,14
845,13,1,3/12/2025 17:54,-90.8208,49.0063,403.912,0.772591,-0.116476,-0.453249,-0.429072,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,17,1,14
846,13,2,3/12/2025 17:54,-54.4955,84.306,425.373,-0.520713,0.295966,0.23375,0.765913,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,29,2,22
847,13,1,3/12/2025 17:54,-89.9571,49.0063,406.115,0.764886,-0.12365,-0.466132,-0.42706,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,29,2,22
848,12,2,3/12/2025 17:55,-55.4614,83.8495,430.854,-0.507486,0.311974,0.261476,0.759447,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,114,3,62
849,12,1,3/12/2025 17:55,-91.232,52.4768,403.485,0.765658,-0.132885,-0.44945,-0.440573,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,114,3,62
850,14,2,3/12/2025 17:55,-47.2452,84.3806,428.011,-0.512179,0.309648,0.221677,0.769837,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,20,2,1
851,14,1,3/12/2025 17:55,-87.8994,46.2214,406.91,0.769907,-0.11373,-0.470503,-0.415855,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,20,2,1
852,12,2,3/12/2025 17:55,-55.4614,83.8495,430.854,-0.507486,0.311974,0.261476,0.759447,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,125,5,69
853,12,1,3/12/2025 17:55,-91.232,52.4768,404.185,0.765658,-0.132885,-0.44945,-0.440573,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,125,5,69
854,12,2,3/12/2025 17:56,-55.4614,83.8495,430.854,-0.507486,0.311974,0.261476,0.759447,MANMATCH,NULL,06ffedafecd8d36cf6eecfae3098bc4f938f14ed,https://gitlab.ethz.ch/lmb/dupla/dupla_manmatch.git,99,99,root@localhost,173,9,150
